1	3.4	Tue, 17 Jun 2008 -- 20:00 (-0400)
2	3.4.1	Thu, 11 Sep 2008 -- 17:00 (-0400)
3	3.4.2	Wed, 11 Feb 2009 -- 17:00 (-0500)
4	3.5	Thu, 11 Jun 2009 -- 15:40 (-0400)
5	3.5.1	Thu, 17 Sep 2009 -- 08:00 (-0400)
6	3.5.2	Thu, 11 Feb 2010 -- 13:43 (-0500)
7	3.6	Tue, 8 Jun 2010 -- 09:11 (-0400)
8	3.6.1	Thu, 9 Sep 2010 -- 08:00 (-0400)
9	3.6.2	Thu, 10 Feb 2011 -- 12:00 (-0500)
10	3.7	Mon, 13 Jun 2011 -- 17:36 (-0400)
11	3.7.1	Fri, 9 Sep 2011 -- 13:35 (-0400)
12	3.7.2	Wed, 8 Feb 2012 -- 08:00 (-0500)
13	3.8	Fri, 8 Jun 2012 -- 12:00 (-0400)
14	3.8.1	Fri, 14 Sep 2012 -- 15:40 (-0400)
15	3.8.2	Thu, 31 Jan 2013 -- 08:00 (-0500)
16	4.2	Fri, 8 Jun 2012 -- 14:00 (-0400)
17	4.2.1	Fri, 14 Sep 2012 -- 18:00 (-0400)
18	4.2.2	Mon, 4 Feb 2013 -- 12:00 (-0500)
19	4.3	Wed, 5 Jun 2013 -- 20:00 (-0400)
